Count	Date	Time	Lat	Long	Speed	Altitude	GSR
0	2/6/2018	10:16:49	51.547432	-0.022962	1.04	0.00	564
1	2/6/2018	10:16:50	51.547428	-0.023006	1.44	0.00	568
2	2/6/2018	10:16:50	51.547428	-0.023006	1.44	-0.40	565
3	2/6/2018	10:16:51	51.547405	-0.023077	1.22	-0.40	566
4	2/6/2018	10:16:51	51.547405	-0.023077	1.22	5.00	567
5	2/6/2018	10:16:52	51.547398	-0.023103	0.94	5.00	567
6	2/6/2018	10:16:53	51.547386	-0.023152	1.35	5.00	572
7	2/6/2018	10:16:53	51.547386	-0.023152	1.35	11.40	569
8	2/6/2018	10:16:54	51.547390	-0.023165	0.48	11.40	568
9	2/6/2018	10:16:55	51.547386	-0.023177	0.20	11.40	570
10	2/6/2018	10:16:55	51.547386	-0.023177	0.20	12.20	567
11	2/6/2018	10:16:56	51.547379	-0.023193	3.48	12.20	568
12	2/6/2018	10:16:56	51.547379	-0.023193	3.48	12.80	567
13	2/6/2018	10:16:57	51.547371	-0.023191	0.69	12.80	566
14	2/6/2018	10:16:58	51.547371	-0.023185	2.33	12.80	571
15	2/6/2018	10:16:58	51.547371	-0.023185	2.33	12.90	569
16	2/6/2018	10:16:59	51.547379	-0.023158	1.11	12.90	567
17	2/6/2018	10:17:0	51.547367	-0.023170	2.43	12.90	571
18	2/6/2018	10:17:0	51.547367	-0.023170	2.43	13.60	569
19	2/6/2018	10:17:1	51.547359	-0.023162	1.33	13.60	567
20	2/6/2018	10:17:2	51.547348	-0.023201	0.48	13.60	571
21	2/6/2018	10:17:2	51.547348	-0.023201	0.48	15.60	569
22	2/6/2018	10:17:3	51.547333	-0.023205	2.69	15.60	569
23	2/6/2018	10:17:3	51.547333	-0.023205	2.69	16.50	568
24	2/6/2018	10:17:4	51.547325	-0.023228	3.26	16.50	569
25	2/6/2018	10:17:4	51.547325	-0.023228	3.26	18.00	567
26	2/6/2018	10:17:5	51.547314	-0.023267	5.19	18.00	566
27	2/6/2018	10:17:6	51.547321	-0.023212	4.39	18.00	567
28	2/6/2018	10:17:7	51.547321	-0.023218	3.87	18.00	568
29	2/6/2018	10:17:8	51.547352	-0.023113	3.72	18.00	568
30	2/6/2018	10:17:8	51.547352	-0.023113	3.72	10.40	567
31	2/6/2018	10:17:9	51.547337	-0.023144	3.70	10.40	567
32	2/6/2018	10:17:10	51.547329	-0.023145	6.07	10.40	569
33	2/6/2018	10:17:11	51.547325	-0.023135	3.50	10.40	571
34	2/6/2018	10:17:11	51.547325	-0.023135	3.50	12.30	568
35	2/6/2018	10:17:12	51.547340	-0.023092	2.24	12.30	569
36	2/6/2018	10:17:12	51.547340	-0.023092	2.24	10.50	568
37	2/6/2018	10:17:13	51.547333	-0.023044	2.09	10.50	569
