Count	Date	Time	Lat	Long	Speed	Altitude	GSR
0	2/6/2018	11:39:56	51.547821	-0.023561	0.50	0.00	498
1	2/6/2018	11:39:57	51.547836	-0.023590	0.80	0.00	493
2	2/6/2018	11:39:58	51.547840	-0.023599	0.57	0.00	487
3	2/6/2018	11:39:58	51.547840	-0.023599	0.57	107.20	493
4	2/6/2018	11:39:59	51.547832	-0.023589	0.69	107.20	511
5	2/6/2018	11:40:0	51.547825	-0.023568	0.50	107.20	536
6	2/6/2018	11:40:1	51.547825	-0.023572	1.76	107.20	499
7	2/6/2018	11:40:2	51.547813	-0.023565	2.72	107.20	513
8	2/6/2018	11:40:3	51.547806	-0.023558	3.32	107.20	518
9	2/6/2018	11:40:3	51.547806	-0.023558	3.32	102.60	513
10	2/6/2018	11:40:4	51.547798	-0.023554	3.39	102.60	514
11	2/6/2018	11:40:4	51.547798	-0.023554	3.39	103.00	519
12	2/6/2018	11:40:5	51.547798	-0.023546	1.78	103.00	513
13	2/6/2018	11:40:5	51.547798	-0.023546	1.78	102.30	517
14	2/6/2018	11:40:6	51.547798	-0.023543	2.37	102.30	514
15	2/6/2018	11:40:7	51.547798	-0.023535	0.98	102.30	513
16	2/6/2018	11:40:8	51.547787	-0.023521	1.37	102.30	502
17	2/6/2018	11:40:8	51.547787	-0.023521	1.37	100.00	504
18	2/6/2018	11:40:9	51.547775	-0.023509	1.09	100.00	481
19	2/6/2018	11:40:10	51.547768	-0.023505	1.30	100.00	515
20	2/6/2018	11:40:11	51.547768	-0.023508	0.98	100.00	519
21	2/6/2018	11:40:11	51.547768	-0.023508	0.98	100.20	522
22	2/6/2018	11:40:12	51.547771	-0.023511	2.11	100.20	515
23	2/6/2018	11:40:13	51.547771	-0.023512	0.81	100.20	516
24	2/6/2018	11:40:14	51.547764	-0.023508	0.65	100.20	502
25	2/6/2018	11:40:14	51.547764	-0.023508	0.65	101.00	503
26	2/6/2018	11:40:15	51.547760	-0.023500	2.28	101.00	512
27	2/6/2018	11:40:16	51.547749	-0.023486	1.80	101.00	511
28	2/6/2018	11:40:17	51.547749	-0.023481	1.20	101.00	508
29	2/6/2018	11:40:18	51.547749	-0.023486	2.83	101.00	510
30	2/6/2018	11:40:18	51.547749	-0.023486	2.83	97.50	510
31	2/6/2018	11:40:19	51.547756	-0.023488	1.31	97.50	504
32	2/6/2018	11:40:19	51.547756	-0.023488	1.31	96.30	506
33	2/6/2018	11:40:20	51.547749	-0.023483	1.11	96.30	506
34	2/6/2018	11:40:20	51.547749	-0.023483	1.11	95.20	508
35	2/6/2018	11:40:21	51.547745	-0.023484	1.76	95.20	509
36	2/6/2018	11:40:21	51.547745	-0.023484	1.76	95.90	513
37	2/6/2018	11:40:22	51.547741	-0.023473	3.65	95.90	493
38	2/6/2018	11:40:22	51.547741	-0.023473	3.65	95.20	518
39	2/6/2018	11:40:23	51.547733	-0.023466	1.50	95.20	505
40	2/6/2018	11:40:23	51.547733	-0.023466	1.50	94.50	509
41	2/6/2018	11:40:24	51.547733	-0.023464	0.43	94.50	501
42	2/6/2018	11:40:24	51.547733	-0.023464	0.43	94.20	505
43	2/6/2018	11:40:25	51.547726	-0.023453	0.43	94.20	506
44	2/6/2018	11:40:25	51.547726	-0.023453	0.43	92.90	510
45	2/6/2018	11:40:26	51.547733	-0.023450	0.43	92.90	506
46	2/6/2018	11:40:26	51.547733	-0.023450	0.43	92.50	508
47	2/6/2018	11:40:27	51.547615	-0.023347	0.96	92.50	506
48	2/6/2018	11:40:28	51.547577	-0.023316	0.24	92.50	507
49	2/6/2018	11:40:29	51.547554	-0.023302	0.28	92.50	506
50	2/6/2018	11:40:30	51.547550	-0.023301	0.37	92.50	506
51	2/6/2018	11:40:30	51.547550	-0.023301	0.37	74.60	510
52	2/6/2018	11:40:31	51.547539	-0.023294	0.20	74.60	507
53	2/6/2018	11:40:31	51.547539	-0.023294	0.20	72.70	510
54	2/6/2018	11:40:32	51.547527	-0.023291	0.04	72.70	507
55	2/6/2018	11:40:32	51.547527	-0.023291	0.04	71.70	509
56	2/6/2018	11:40:33	51.547516	-0.023286	0.07	71.70	506
57	2/6/2018	11:40:33	51.547516	-0.023286	0.07	70.30	509
58	2/6/2018	11:40:34	51.547504	-0.023281	0.06	70.30	507
59	2/6/2018	11:40:34	51.547504	-0.023281	0.06	69.10	510
60	2/6/2018	11:40:35	51.547501	-0.023277	0.19	69.10	506
61	2/6/2018	11:40:35	51.547501	-0.023277	0.19	68.30	509
62	2/6/2018	11:40:36	51.547489	-0.023275	0.09	68.30	505
63	2/6/2018	11:40:36	51.547489	-0.023275	0.09	67.30	509
64	2/6/2018	11:40:37	51.547482	-0.023273	0.80	67.30	508
65	2/6/2018	11:40:37	51.547482	-0.023273	0.80	66.00	507
66	2/6/2018	11:40:38	51.547478	-0.023267	0.15	66.00	504
67	2/6/2018	11:40:39	51.547470	-0.023260	0.44	66.00	480
68	2/6/2018	11:40:40	51.547462	-0.023254	1.04	66.00	495
69	2/6/2018	11:40:41	51.547459	-0.023250	0.65	66.00	504
70	2/6/2018	11:40:41	51.547459	-0.023250	0.65	59.60	509
71	2/6/2018	11:40:42	51.547455	-0.023245	2.56	59.60	513
72	2/6/2018	11:40:42	51.547455	-0.023245	2.56	58.90	513
73	2/6/2018	11:40:43	51.547455	-0.023242	1.63	58.90	509
74	2/6/2018	11:40:44	51.547470	-0.023242	1.63	58.90	511
75	2/6/2018	11:40:44	51.547470	-0.023242	1.63	58.00	513
76	2/6/2018	11:40:45	51.547470	-0.023249	1.41	58.00	508
77	2/6/2018	11:40:46	51.547470	-0.023249	1.24	58.00	511
78	2/6/2018	11:40:46	51.547470	-0.023249	1.24	59.90	510
79	2/6/2018	11:40:47	51.547466	-0.023253	0.85	59.90	503
80	2/6/2018	11:40:48	51.547482	-0.023262	0.72	59.90	449
81	2/6/2018	11:40:49	51.547485	-0.023262	0.19	59.90	501
82	2/6/2018	11:40:49	51.547485	-0.023262	0.19	63.80	507
83	2/6/2018	11:40:50	51.547489	-0.023260	0.37	63.80	500
