Count	Date	Time	Lat	Long	Speed	Altitude	GSR
0	2/6/2018	11:39:29	51.547386	-0.023341	0.13	0.00	299
1	2/6/2018	11:39:29	51.547386	-0.023341	0.13	84.70	279
2	2/6/2018	11:39:30	51.547382	-0.023342	2.28	84.70	241
3	2/6/2018	11:39:31	51.547379	-0.023341	0.70	84.70	223
4	2/6/2018	11:39:31	51.547379	-0.023341	0.70	84.90	226
5	2/6/2018	11:39:32	51.547379	-0.023334	1.50	84.90	220
6	2/6/2018	11:39:33	51.547359	-0.023333	2.78	84.90	216
7	2/6/2018	11:39:33	51.547359	-0.023333	2.78	84.00	220
8	2/6/2018	11:39:34	51.547356	-0.023334	2.52	84.00	217
9	2/6/2018	11:39:34	51.547356	-0.023334	2.52	84.10	221
10	2/6/2018	11:39:35	51.547356	-0.023339	0.67	84.10	217
11	2/6/2018	11:39:36	51.547348	-0.023348	0.43	84.10	213
12	2/6/2018	11:39:36	51.547348	-0.023348	0.43	82.30	217
13	2/6/2018	11:39:37	51.547340	-0.023359	0.33	82.30	212
14	2/6/2018	11:39:37	51.547340	-0.023359	0.33	82.50	217
15	2/6/2018	11:39:38	51.547337	-0.023364	0.19	82.50	214
16	2/6/2018	11:39:38	51.547337	-0.023364	0.19	81.30	218
17	2/6/2018	11:39:39	51.547340	-0.023367	0.37	81.30	214
18	2/6/2018	11:39:39	51.547340	-0.023367	0.37	80.50	218
19	2/6/2018	11:39:40	51.547333	-0.023373	0.65	80.50	214
20	2/6/2018	11:39:40	51.547333	-0.023373	0.65	80.40	215
21	2/6/2018	11:39:41	51.547329	-0.023370	0.22	80.40	214
22	2/6/2018	11:39:41	51.547329	-0.023370	0.22	80.30	216
23	2/6/2018	11:39:42	51.547318	-0.023366	0.22	80.30	214
24	2/6/2018	11:39:42	51.547318	-0.023366	0.22	80.70	218
25	2/6/2018	11:39:43	51.547306	-0.023375	1.00	80.70	215
26	2/6/2018	11:39:43	51.547306	-0.023375	1.00	78.00	218
27	2/6/2018	11:39:44	51.547306	-0.023381	2.35	78.00	214
28	2/6/2018	11:39:44	51.547306	-0.023381	2.35	76.30	217
29	2/6/2018	11:39:45	51.547295	-0.023380	2.19	76.30	213
30	2/6/2018	11:39:45	51.547295	-0.023380	2.19	75.70	216
31	2/6/2018	11:39:46	51.547291	-0.023382	0.39	75.70	213
32	2/6/2018	11:39:46	51.547291	-0.023382	0.39	74.50	216
33	2/6/2018	11:39:47	51.547287	-0.023378	0.22	74.50	213
34	2/6/2018	11:39:47	51.547287	-0.023378	0.22	75.00	217
35	2/6/2018	11:39:48	51.547279	-0.023384	0.33	75.00	212
36	2/6/2018	11:39:48	51.547279	-0.023384	0.33	74.60	216
37	2/6/2018	11:39:49	51.547276	-0.023386	0.06	74.60	213
38	2/6/2018	11:39:49	51.547276	-0.023386	0.06	73.90	217
39	2/6/2018	11:39:50	51.547279	-0.023387	0.20	73.90	212
40	2/6/2018	11:39:50	51.547279	-0.023387	0.20	73.90	216
41	2/6/2018	11:39:51	51.547283	-0.023391	0.44	73.90	212
42	2/6/2018	11:39:51	51.547283	-0.023391	0.44	73.80	216
43	2/6/2018	11:39:52	51.547283	-0.023391	0.09	73.80	212
44	2/6/2018	11:39:52	51.547283	-0.023391	0.09	74.10	216
45	2/6/2018	11:39:53	51.547283	-0.023390	0.26	74.10	211
46	2/6/2018	11:39:54	51.547295	-0.023396	1.61	74.10	209
47	2/6/2018	11:39:55	51.547291	-0.023399	0.98	74.10	210
48	2/6/2018	11:39:55	51.547291	-0.023399	0.98	73.90	214
49	2/6/2018	11:39:56	51.547279	-0.023397	3.37	73.90	210
50	2/6/2018	11:39:56	51.547279	-0.023397	3.37	74.00	214
51	2/6/2018	11:39:57	51.547268	-0.023396	5.69	74.00	210
52	2/6/2018	11:39:57	51.547268	-0.023396	5.69	73.90	212
53	2/6/2018	11:39:58	51.547253	-0.023401	6.04	73.90	211
54	2/6/2018	11:39:58	51.547253	-0.023401	6.04	73.60	213
55	2/6/2018	11:39:59	51.547268	-0.023411	6.35	73.60	210
56	2/6/2018	11:40:0	51.547276	-0.023408	2.15	73.60	209
57	2/6/2018	11:40:1	51.547256	-0.023402	2.09	73.60	210
58	2/6/2018	11:40:1	51.547256	-0.023402	2.09	73.90	210
59	2/6/2018	11:40:2	51.547260	-0.023403	3.78	73.90	212
60	2/6/2018	11:40:2	51.547260	-0.023403	3.78	71.90	212
61	2/6/2018	11:40:3	51.547264	-0.023401	2.59	71.90	207
62	2/6/2018	11:40:3	51.547264	-0.023401	2.59	72.10	211
63	2/6/2018	11:40:4	51.547253	-0.023385	1.02	72.10	207
64	2/6/2018	11:40:5	51.547249	-0.023372	0.63	72.10	208
65	2/6/2018	11:40:6	51.547241	-0.023368	0.57	72.10	209
66	2/6/2018	11:40:7	51.547245	-0.023365	0.63	72.10	207
67	2/6/2018	11:40:7	51.547245	-0.023365	0.63	75.10	212
68	2/6/2018	11:40:8	51.547237	-0.023369	3.41	75.10	202
69	2/6/2018	11:40:8	51.547237	-0.023369	3.41	75.00	211
70	2/6/2018	11:40:9	51.547234	-0.023367	1.31	75.00	211
71	2/6/2018	11:40:9	51.547234	-0.023367	1.31	76.10	212
