Count	Date	Time	Lat	Long	Speed	Altitude	GSR
0	0/0/2000	14:42:8	51.547218	-0.023750	0.00	72.70	407
1	2/6/2018	14:42:8	51.547218	-0.023750	0.00	72.70	396
2	2/6/2018	14:42:9	51.547218	-0.023750	0.00	72.60	378
3	2/6/2018	14:42:9	51.547218	-0.023750	2.06	72.60	372
4	2/6/2018	14:42:10	51.547215	-0.023748	2.06	72.60	356
5	2/6/2018	14:42:11	51.547215	-0.023748	2.06	72.60	342
6	2/6/2018	14:42:11	51.547215	-0.023748	0.00	72.60	342
7	2/6/2018	14:42:12	51.547215	-0.023748	0.00	72.60	342
8	2/6/2018	14:42:12	51.547215	-0.023748	0.00	72.60	344
9	2/6/2018	14:42:13	51.547215	-0.023748	0.00	72.60	335
10	2/6/2018	14:42:13	51.547215	-0.023748	0.00	72.60	340
11	2/6/2018	14:42:14	51.547203	-0.023747	0.00	73.00	335
12	2/6/2018	14:42:14	51.547203	-0.023747	1.50	73.00	329
13	2/6/2018	14:42:15	51.547199	-0.023763	1.50	74.00	336
14	2/6/2018	14:42:16	51.547188	-0.023715	1.50	75.70	333
15	2/6/2018	14:42:17	51.547138	-0.023698	1.50	74.40	334
16	2/6/2018	14:42:18	51.547142	-0.023700	1.50	74.70	333
17	2/6/2018	14:42:18	51.547142	-0.023700	5.11	74.70	334
18	2/6/2018	14:42:19	51.547134	-0.023708	5.11	74.70	333
19	2/6/2018	14:42:20	51.547123	-0.023685	5.11	75.40	332
20	2/6/2018	14:42:21	51.547134	-0.023657	5.11	75.50	332
21	2/6/2018	14:42:21	51.547134	-0.023657	2.67	75.50	336
22	2/6/2018	14:42:22	51.547150	-0.023622	2.67	76.00	334
23	2/6/2018	14:42:23	51.547165	-0.023608	2.67	77.30	333
24	2/6/2018	14:42:23	51.547165	-0.023608	2.35	77.30	335
25	2/6/2018	14:42:24	51.547184	-0.023552	2.35	78.50	334
26	2/6/2018	14:42:25	51.547226	-0.023520	2.35	77.30	333
