Count	Date	Time	Lat	Long	Speed	Altitude	GSR
0	2/6/2018	13:59:47	51.547058	-0.024176	0.80	0.00	426
1	2/6/2018	13:59:48	51.547050	-0.024185	0.65	0.00	384
2	2/6/2018	13:59:48	51.547050	-0.024185	0.65	100.30	384
3	2/6/2018	13:59:49	51.547054	-0.024187	1.54	100.30	378
4	2/6/2018	13:59:50	51.547050	-0.024195	1.63	100.30	364
5	2/6/2018	13:59:50	51.547050	-0.024195	1.63	97.10	367
6	2/6/2018	13:59:51	51.547054	-0.024203	2.72	97.10	366
7	2/6/2018	13:59:52	51.547050	-0.024204	0.65	97.10	366
8	2/6/2018	13:59:52	51.547050	-0.024204	0.65	97.70	369
9	2/6/2018	13:59:53	51.547050	-0.024210	1.17	97.70	362
10	2/6/2018	13:59:54	51.547035	-0.024237	1.65	97.70	360
11	2/6/2018	13:59:54	51.547035	-0.024237	1.65	97.20	368
12	2/6/2018	14:4:1	51.545792	-0.024863	2.94	97.20	327
13	2/6/2018	14:4:2	51.545639	-0.024790	3.56	97.20	378
14	2/6/2018	14:4:2	51.545639	-0.024790	3.56	102.80	316
15	2/6/2018	14:4:3	51.545582	-0.024816	3.63	102.80	350
16	2/6/2018	14:4:4	51.545570	-0.024817	2.11	102.80	314
17	2/6/2018	14:4:5	51.545551	-0.024780	2.59	102.80	344
18	2/6/2018	14:4:6	51.545544	-0.024766	3.72	102.80	449
19	2/6/2018	14:4:7	51.545540	-0.024746	4.13	102.80	355
20	2/6/2018	14:4:8	51.545544	-0.024720	3.87	102.80	332
21	2/6/2018	14:4:9	51.545540	-0.024698	3.89	102.80	337
22	2/6/2018	14:4:10	51.545540	-0.024681	3.33	102.80	412
23	2/6/2018	14:4:11	51.545536	-0.024676	2.44	102.80	311
24	2/6/2018	14:4:12	51.545536	-0.024653	2.67	102.80	341
25	2/6/2018	14:4:13	51.545528	-0.024641	3.67	102.80	427
26	2/6/2018	14:4:14	51.545525	-0.024629	3.43	102.80	325
27	2/6/2018	14:4:15	51.545517	-0.024620	3.61	102.80	335
28	2/6/2018	14:4:16	51.545509	-0.024615	2.72	102.80	425
29	2/6/2018	14:4:16	51.545509	-0.024615	2.72	90.40	329
30	2/6/2018	14:4:17	51.545506	-0.024604	2.96	90.40	356
31	2/6/2018	14:4:18	51.545502	-0.024596	2.67	90.40	413
32	2/6/2018	14:4:19	51.545506	-0.024592	2.24	90.40	335
33	2/6/2018	14:4:20	51.545509	-0.024579	0.80	90.40	323
34	2/6/2018	14:4:21	51.545513	-0.024560	2.35	90.40	363
35	2/6/2018	14:4:21	51.545513	-0.024560	2.35	87.60	397
36	2/6/2018	14:4:22	51.545509	-0.024549	3.48	87.60	346
37	2/6/2018	14:4:23	51.545517	-0.024526	2.63	87.60	344
38	2/6/2018	14:4:23	51.545517	-0.024526	2.63	85.40	403
39	2/6/2018	14:4:24	51.545509	-0.024516	2.13	85.40	327
40	2/6/2018	14:4:24	51.545509	-0.024516	2.13	85.10	378
41	2/6/2018	14:4:25	51.545506	-0.024504	3.22	85.10	347
42	2/6/2018	14:4:26	51.545498	-0.024486	3.63	85.10	358
43	2/6/2018	14:4:26	51.545498	-0.024486	3.63	83.90	395
44	2/6/2018	14:4:27	51.545494	-0.024469	4.00	83.90	353
45	2/6/2018	14:4:28	51.545498	-0.024441	3.63	83.90	347
46	2/6/2018	14:4:29	51.545498	-0.024420	3.44	83.90	330
47	2/6/2018	14:4:30	51.545498	-0.024401	2.85	83.90	330
48	2/6/2018	14:4:31	51.545506	-0.024381	1.13	83.90	346
49	2/6/2018	14:4:31	51.545506	-0.024381	1.13	76.80	336
50	2/6/2018	14:4:32	51.545509	-0.024365	1.33	76.80	362
51	2/6/2018	14:4:32	51.545509	-0.024365	1.33	75.60	366
52	2/6/2018	14:4:33	51.545509	-0.024345	3.22	75.60	342
53	2/6/2018	14:4:34	51.545509	-0.024323	3.72	75.60	337
54	2/6/2018	14:4:35	51.545506	-0.024307	3.67	75.60	405
55	2/6/2018	14:4:35	51.545506	-0.024307	3.67	73.20	360
56	2/6/2018	14:4:36	51.545502	-0.024285	4.04	73.20	402
57	2/6/2018	14:4:36	51.545502	-0.024285	4.04	72.70	361
58	2/6/2018	14:4:37	51.545502	-0.024263	4.37	72.70	350
59	2/6/2018	14:4:37	51.545502	-0.024263	4.37	71.70	483
60	2/6/2018	14:4:38	51.545498	-0.024243	4.02	71.70	323
61	2/6/2018	14:4:39	51.545498	-0.024216	3.85	71.70	331
62	2/6/2018	14:4:40	51.545490	-0.024205	3.09	71.70	344
63	2/6/2018	14:4:41	51.545486	-0.024191	4.11	71.70	407
64	2/6/2018	14:4:42	51.545479	-0.024177	3.87	71.70	455
65	2/6/2018	14:4:43	51.545479	-0.024157	3.52	71.70	374
66	2/6/2018	14:4:43	51.545479	-0.024157	3.52	67.10	429
67	2/6/2018	14:4:44	51.545483	-0.024120	4.46	67.10	315
68	2/6/2018	14:4:45	51.545486	-0.024089	3.85	67.10	306
69	2/6/2018	14:4:46	51.545486	-0.024065	3.63	67.10	325
70	2/6/2018	14:4:47	51.545479	-0.024064	2.74	67.10	365
71	2/6/2018	14:4:47	51.545479	-0.024064	2.74	61.70	326
72	2/6/2018	14:4:48	51.545483	-0.024035	3.20	61.70	361
73	2/6/2018	14:4:49	51.545475	-0.024026	4.17	61.70	469
74	2/6/2018	14:4:50	51.545479	-0.023985	4.46	61.70	348
75	2/6/2018	14:4:51	51.545479	-0.023956	4.30	61.70	310
76	2/6/2018	14:4:52	51.545483	-0.023925	4.83	61.70	316
77	2/6/2018	14:4:53	51.545483	-0.023899	3.82	61.70	355
78	2/6/2018	14:4:54	51.545483	-0.023874	3.72	61.70	351
79	2/6/2018	14:4:55	51.545486	-0.023847	3.00	61.70	341
80	2/6/2018	14:4:55	51.545486	-0.023847	3.00	47.60	344
81	2/6/2018	14:4:56	51.545502	-0.023789	4.39	47.60	468
82	2/6/2018	14:4:57	51.545502	-0.023762	5.04	47.60	472
83	2/6/2018	14:4:58	51.545502	-0.023735	5.17	47.60	364
84	2/6/2018	14:4:59	51.545498	-0.023712	4.56	47.60	333
85	2/6/2018	14:5:0	51.545494	-0.023695	4.72	47.60	321
86	2/6/2018	14:5:1	51.545498	-0.023656	4.56	47.60	380
87	2/6/2018	14:5:2	51.545563	-0.023486	3.39	47.60	301
88	2/6/2018	14:5:3	51.545586	-0.023404	3.46	47.60	319
89	2/6/2018	14:5:4	51.545593	-0.023365	3.65	47.60	362
90	2/6/2018	14:5:4	51.545593	-0.023365	3.65	8.10	382
91	2/6/2018	14:5:5	51.545589	-0.023341	4.20	8.10	452
92	2/6/2018	14:5:6	51.545586	-0.023322	4.41	8.10	459
93	2/6/2018	14:5:6	51.545586	-0.023322	4.41	6.20	363
94	2/6/2018	14:5:7	51.545582	-0.023308	4.37	6.20	371
95	2/6/2018	14:5:7	51.545582	-0.023308	4.37	6.30	453
96	2/6/2018	14:5:8	51.545570	-0.023297	4.32	6.30	337
97	2/6/2018	14:5:9	51.545563	-0.023286	3.94	6.30	322
98	2/6/2018	14:5:9	51.545563	-0.023286	3.94	6.10	328
99	2/6/2018	14:5:10	51.545559	-0.023268	3.28	6.10	320
100	2/6/2018	14:5:11	51.545559	-0.023253	3.13	6.10	359
101	2/6/2018	14:5:11	51.545559	-0.023253	3.13	4.90	317
102	2/6/2018	14:5:12	51.545551	-0.023245	3.52	4.90	366
103	2/6/2018	14:5:13	51.545544	-0.023239	3.93	4.90	467
104	2/6/2018	14:5:13	51.545544	-0.023239	3.93	4.50	323
105	2/6/2018	14:5:14	51.545536	-0.023224	4.30	4.50	368
106	2/6/2018	14:5:15	51.545528	-0.023211	3.83	4.50	319
107	2/6/2018	14:5:16	51.545525	-0.023199	4.24	4.50	369
108	2/6/2018	14:5:16	51.545525	-0.023199	4.24	3.90	429
109	2/6/2018	14:5:17	51.545517	-0.023185	4.07	3.90	402
110	2/6/2018	14:5:18	51.545509	-0.023175	3.13	3.90	367
111	2/6/2018	14:5:19	51.545502	-0.023168	3.13	3.90	345
112	2/6/2018	14:5:20	51.545498	-0.023161	3.48	3.90	450
113	2/6/2018	14:5:21	51.545490	-0.023152	3.70	3.90	339
114	2/6/2018	14:5:22	51.545486	-0.023139	3.78	3.90	337
115	2/6/2018	14:5:23	51.545479	-0.023128	4.15	3.90	315
116	2/6/2018	14:5:24	51.545471	-0.023116	3.57	3.90	389
117	2/6/2018	14:5:25	51.545467	-0.023105	3.76	3.90	346
118	2/6/2018	14:5:25	51.545467	-0.023105	3.76	3.70	314
119	2/6/2018	14:5:26	51.545460	-0.023095	3.65	3.70	330
120	2/6/2018	14:5:27	51.545452	-0.023086	4.07	3.70	445
