Count	Date	Time	Lat	Long	Speed	Altitude	GSR
0	2/6/2018	14:42:1	51.547279	-0.023468	0.44	0.00	287
1	2/6/2018	14:42:2	51.547268	-0.023465	0.17	0.00	262
2	2/6/2018	14:42:3	51.547264	-0.023465	0.56	0.00	258
3	2/6/2018	14:42:3	51.547264	-0.023465	0.56	58.70	262
4	2/6/2018	14:42:4	51.547256	-0.023454	0.78	58.70	258
5	2/6/2018	14:42:4	51.547256	-0.023454	0.78	59.30	259
6	2/6/2018	14:42:5	51.547249	-0.023453	0.80	59.30	261
7	2/6/2018	14:42:6	51.547256	-0.023460	0.19	59.30	257
8	2/6/2018	14:42:6	51.547256	-0.023460	0.19	58.30	260
9	2/6/2018	14:42:7	51.547260	-0.023457	0.19	58.30	258
10	2/6/2018	14:42:7	51.547260	-0.023457	0.19	58.10	260
11	2/6/2018	14:42:8	51.547245	-0.023455	0.72	58.10	257
12	2/6/2018	14:42:9	51.547222	-0.023460	0.43	58.10	256
13	2/6/2018	14:42:10	51.547215	-0.023468	1.20	58.10	256
14	2/6/2018	14:42:10	51.547215	-0.023468	1.20	56.30	259
15	2/6/2018	14:42:11	51.547222	-0.023470	0.89	56.30	256
16	2/6/2018	14:42:12	51.547218	-0.023456	0.76	56.30	256
17	2/6/2018	14:42:12	51.547218	-0.023456	0.76	57.50	259
18	2/6/2018	14:42:13	51.547215	-0.023449	0.11	57.50	256
19	2/6/2018	14:42:13	51.547215	-0.023449	0.11	57.60	258
20	2/6/2018	14:42:14	51.547211	-0.023447	0.85	57.60	255
21	2/6/2018	14:42:14	51.547211	-0.023447	0.85	57.40	258
22	2/6/2018	14:42:15	51.547199	-0.023444	0.07	57.40	255
23	2/6/2018	14:42:15	51.547199	-0.023444	0.07	57.20	257
24	2/6/2018	14:42:16	51.547195	-0.023446	0.06	57.20	259
25	2/6/2018	14:42:16	51.547195	-0.023446	0.06	57.10	260
26	2/6/2018	14:42:17	51.547195	-0.023447	0.11	57.10	256
27	2/6/2018	14:42:17	51.547195	-0.023447	0.11	57.10	261
28	2/6/2018	14:42:18	51.547195	-0.023446	0.07	57.10	254
29	2/6/2018	14:42:18	51.547195	-0.023446	0.07	57.80	253
30	2/6/2018	14:42:19	51.547192	-0.023447	0.24	57.80	254
31	2/6/2018	14:42:19	51.547192	-0.023447	0.24	57.80	255
32	2/6/2018	14:42:20	51.547188	-0.023442	0.76	57.80	255
33	2/6/2018	14:42:20	51.547188	-0.023442	0.76	58.20	259
34	2/6/2018	14:42:21	51.547192	-0.023439	0.56	58.20	258
35	2/6/2018	14:42:21	51.547192	-0.023439	0.56	58.60	264
36	2/6/2018	14:42:22	51.547203	-0.023436	0.96	58.60	259
37	2/6/2018	14:42:22	51.547203	-0.023436	0.96	59.10	260
38	2/6/2018	14:42:23	51.547211	-0.023433	1.39	59.10	258
39	2/6/2018	14:42:23	51.547211	-0.023433	1.39	58.10	259
40	2/6/2018	14:42:24	51.547218	-0.023428	1.72	58.10	257
41	2/6/2018	14:42:25	51.547222	-0.023420	1.28	58.10	254
42	2/6/2018	14:42:26	51.547218	-0.023418	3.04	58.10	251
43	2/6/2018	14:42:26	51.547218	-0.023418	3.04	56.90	255
44	2/6/2018	14:42:27	51.547218	-0.023420	0.96	56.90	254
45	2/6/2018	14:42:27	51.547218	-0.023420	0.96	55.70	257
46	2/6/2018	14:42:28	51.547218	-0.023418	2.02	55.70	254
47	2/6/2018	14:42:29	51.547215	-0.023408	2.67	55.70	255
48	2/6/2018	14:42:29	51.547215	-0.023408	2.67	54.40	257
49	2/6/2018	14:42:30	51.547211	-0.023403	0.78	54.40	257
50	2/6/2018	14:42:31	51.547207	-0.023397	0.52	54.40	256
51	2/6/2018	14:42:31	51.547207	-0.023397	0.52	53.50	257
52	2/6/2018	14:42:32	51.547203	-0.023386	1.72	53.50	256
53	2/6/2018	14:42:33	51.547192	-0.023361	4.22	53.50	255
54	2/6/2018	14:42:34	51.547180	-0.023333	4.00	53.50	255
55	2/6/2018	14:42:35	51.547165	-0.023318	6.19	53.50	253
56	2/6/2018	14:42:36	51.547157	-0.023303	4.67	53.50	252
57	2/6/2018	14:42:36	51.547157	-0.023303	4.67	54.00	256
58	2/6/2018	14:42:37	51.547146	-0.023289	4.00	54.00	253
59	2/6/2018	14:42:37	51.547146	-0.023289	4.00	53.80	255
60	2/6/2018	14:42:38	51.547134	-0.023274	2.82	53.80	255
61	2/6/2018	14:42:39	51.547146	-0.023258	1.76	53.80	256
62	2/6/2018	14:42:39	51.547146	-0.023258	1.76	54.10	257
63	2/6/2018	14:42:40	51.547142	-0.023245	2.52	54.10	256
64	2/6/2018	14:42:40	51.547142	-0.023245	2.52	54.00	258
65	2/6/2018	14:42:41	51.547134	-0.023240	2.09	54.00	255
66	2/6/2018	14:42:41	51.547134	-0.023240	2.09	53.60	259
67	2/6/2018	14:42:42	51.547127	-0.023232	3.20	53.60	256
68	2/6/2018	14:42:42	51.547127	-0.023232	3.20	53.60	258
69	2/6/2018	14:42:43	51.547115	-0.023222	3.17	53.60	253
70	2/6/2018	14:42:43	51.547115	-0.023222	3.17	53.80	255
71	2/6/2018	14:42:44	51.547112	-0.023225	0.37	53.80	253
72	2/6/2018	14:42:44	51.547112	-0.023225	0.37	53.90	257
73	2/6/2018	14:42:45	51.547100	-0.023217	2.15	53.90	255
74	2/6/2018	14:42:45	51.547100	-0.023217	2.15	53.10	257
75	2/6/2018	14:42:46	51.547089	-0.023212	1.15	53.10	255
76	2/6/2018	14:42:46	51.547089	-0.023212	1.15	52.80	255
77	2/6/2018	14:42:47	51.547081	-0.023194	3.39	52.80	255
78	2/6/2018	14:42:48	51.547066	-0.023169	3.52	52.80	254
79	2/6/2018	14:42:48	51.547066	-0.023169	3.52	51.80	257
80	2/6/2018	14:42:49	51.547054	-0.023160	3.82	51.80	253
81	2/6/2018	14:42:49	51.547054	-0.023160	3.82	51.70	257
82	2/6/2018	14:42:50	51.547043	-0.023163	1.61	51.70	255
83	2/6/2018	14:42:51	51.547028	-0.023158	1.98	51.70	254
84	2/6/2018	14:42:51	51.547028	-0.023158	1.98	52.00	257
85	2/6/2018	14:42:52	51.547012	-0.023147	3.56	52.00	254
86	2/6/2018	14:42:53	51.547001	-0.023140	4.20	52.00	254
87	2/6/2018	14:42:53	51.547001	-0.023140	4.20	53.50	257
88	2/6/2018	14:42:54	51.546993	-0.023138	4.13	53.50	253
89	2/6/2018	14:42:54	51.546993	-0.023138	4.13	53.70	255
90	2/6/2018	14:42:55	51.546986	-0.023135	3.72	53.70	254
91	2/6/2018	14:42:55	51.546986	-0.023135	3.72	53.90	255
92	2/6/2018	14:42:56	51.546978	-0.023135	2.89	53.90	254
93	2/6/2018	14:42:56	51.546978	-0.023135	2.89	53.90	257
94	2/6/2018	14:42:57	51.546970	-0.023124	4.24	53.90	254
95	2/6/2018	14:42:58	51.546955	-0.023116	5.70	53.90	253
96	2/6/2018	14:42:58	51.546955	-0.023116	5.70	55.00	256
97	2/6/2018	14:42:59	51.546944	-0.023108	3.30	55.00	254
98	2/6/2018	14:42:59	51.546944	-0.023108	3.30	55.30	256
99	2/6/2018	14:43:0	51.546932	-0.023098	2.44	55.30	255
100	2/6/2018	14:43:0	51.546932	-0.023098	2.44	55.10	256
101	2/6/2018	14:43:1	51.546921	-0.023091	3.28	55.10	253
102	2/6/2018	14:43:2	51.546909	-0.023083	2.56	55.10	252
103	2/6/2018	14:43:2	51.546909	-0.023083	2.56	55.40	256
104	2/6/2018	14:43:3	51.546898	-0.023083	2.07	55.40	252
105	2/6/2018	14:43:3	51.546898	-0.023083	2.07	55.20	255
106	2/6/2018	14:43:4	51.546883	-0.023082	3.26	55.20	251
107	2/6/2018	14:43:5	51.546871	-0.023084	2.20	55.20	253
108	2/6/2018	14:43:6	51.546856	-0.023080	1.85	55.20	253
109	2/6/2018	14:43:6	51.546856	-0.023080	1.85	52.60	256
110	2/6/2018	14:43:7	51.546852	-0.023075	1.78	52.60	253
111	2/6/2018	14:43:7	51.546852	-0.023075	1.78	51.50	255
112	2/6/2018	14:43:8	51.546852	-0.023067	1.83	51.50	253
113	2/6/2018	14:43:9	51.546852	-0.023059	1.28	51.50	253
114	2/6/2018	14:43:10	51.546844	-0.023058	0.54	51.50	254
115	2/6/2018	14:43:11	51.546837	-0.023057	0.15	51.50	254
116	2/6/2018	14:43:12	51.546833	-0.023052	0.19	51.50	253
117	2/6/2018	14:43:12	51.546833	-0.023052	0.19	52.90	257
118	2/6/2018	14:43:13	51.546829	-0.023044	0.09	52.90	253
119	2/6/2018	14:43:13	51.546829	-0.023044	0.09	52.90	255
120	2/6/2018	14:43:14	51.546829	-0.023036	0.17	52.90	255
121	2/6/2018	14:43:14	51.546829	-0.023036	0.17	52.70	257
122	2/6/2018	14:43:15	51.546825	-0.023027	0.13	52.70	255
123	2/6/2018	14:43:15	51.546825	-0.023027	0.13	52.70	258
124	2/6/2018	14:43:16	51.546825	-0.023023	0.54	52.70	255
125	2/6/2018	14:43:16	51.546825	-0.023023	0.54	52.60	258
126	2/6/2018	14:43:17	51.546818	-0.023014	1.70	52.60	255
127	2/6/2018	14:43:17	51.546818	-0.023014	1.70	52.60	257
128	2/6/2018	14:43:18	51.546806	-0.023008	2.70	52.60	254
129	2/6/2018	14:43:18	51.546806	-0.023008	2.70	52.05	255
130	2/6/2018	14:43:19	51.546799	-0.023009	2.74	52.05	253
131	2/6/2018	14:43:20	51.546787	-0.023007	2.63	52.05	252
132	2/6/2018	14:43:20	51.546787	-0.023007	2.63	53.50	254
133	2/6/2018	14:43:21	51.546776	-0.023000	2.76	53.50	253
