X,Y,Count,Date,Time,Lat,Long,Speed,Altitude,GSR
-2600.20066594928,6718673.35720985,"0",2/6/2018,14:41:57,51.547253,-0.023358,1,0,"379"
-2600.64594391246,6718673.89423371,"1",2/6/2018,14:41:58,51.547256,-0.023362,0.5,0,"361"
-2600.64594391246,6718673.89423371,"2",2/6/2018,14:41:58,51.547256,-0.023362,0.5,71.6,"364"
-2600.20066594928,6718671.92514641,"3",2/6/2018,14:41:59,51.547245,-0.023358,1.7,71.6,"361"
-2600.20066594928,6718671.92514641,"4",2/6/2018,14:41:59,51.547245,-0.023358,1.7,70.2,"364"
-2600.97990238484,6718670.49308323,"5",2/6/2018,14:42:0,51.547237,-0.023365,2.98,70.2,"361"
-2600.97990238484,6718670.49308323,"6",2/6/2018,14:42:0,51.547237,-0.023365,2.98,71,"363"
-2599.53274900452,6718669.24002814,"7",2/6/2018,14:42:1,51.54723,-0.023352,0.78,71,"358"
-2599.53274900452,6718669.24002814,"8",2/6/2018,14:42:1,51.54723,-0.023352,0.78,71.6,"362"
-2600.53462442166,6718669.24002814,"9",2/6/2018,14:42:2,51.54723,-0.023361,1.13,71.6,"359"
-2600.53462442166,6718669.24002814,"10",2/6/2018,14:42:2,51.54723,-0.023361,1.13,69.5,"363"
-2601.20254136642,6718668.52399675,"11",2/6/2018,14:42:3,51.547226,-0.023367,1.02,69.5,"360"
-2601.42518034801,6718667.09193416,"12",2/6/2018,14:42:4,51.547218,-0.023369,2.22,69.5,"358"
-2601.42518034801,6718667.09193416,"13",2/6/2018,14:42:4,51.547218,-0.023369,2.22,68.3,"362"
-2600.64594391246,6718666.55491076,"14",2/6/2018,14:42:5,51.547215,-0.023362,0.98,68.3,"359"
-2600.64594391246,6718666.55491076,"15",2/6/2018,14:42:5,51.547215,-0.023362,0.98,68.8,"363"
-2600.42330493087,6718664.40681749,"16",2/6/2018,14:42:6,51.547203,-0.02336,0.35,68.8,"358"
-2600.42330493087,6718664.40681749,"17",2/6/2018,14:42:6,51.547203,-0.02336,0.35,67.8,"362"
-2599.8667074769,6718662.97475562,"18",2/6/2018,14:42:7,51.547195,-0.023355,0.3,67.8,"355"
-2599.64406849532,6718661.00567096,"19",2/6/2018,14:42:8,51.547184,-0.023353,0.13,67.8,"358"
-2599.64406849532,6718661.00567096,"20",2/6/2018,14:42:8,51.547184,-0.023353,0.13,67.3,"363"
-2599.08747104135,6718661.72170169,"21",2/6/2018,14:42:9,51.547188,-0.023348,0.57,67.3,"355"
-2598.64219307818,6718661.72170169,"22",2/6/2018,14:42:10,51.547188,-0.023344,0.09,67.3,"356"
-2598.53087358738,6718662.43773249,"23",2/6/2018,14:42:11,51.547192,-0.023343,1.13,67.3,"355"
-2597.97427613342,6718662.43773249,"24",2/6/2018,14:42:12,51.547192,-0.023338,0.04,67.3,"354"
-2597.52899817025,6718662.43773249,"25",2/6/2018,14:42:13,51.547192,-0.023334,0.46,67.3,"358"
-2597.52899817025,6718662.43773249,"26",2/6/2018,14:42:13,51.547192,-0.023334,0.46,67.2,"368"
-2597.30635918866,6718662.97475562,"27",2/6/2018,14:42:14,51.547195,-0.023332,1.83,67.2,"356"
-2597.86295664263,6718664.40681749,"28",2/6/2018,14:42:15,51.547203,-0.023337,1.69,67.2,"322"
-2598.75351256897,6718664.40681749,"29",2/6/2018,14:42:16,51.547203,-0.023345,0.11,67.2,"352"
-2598.75351256897,6718664.40681749,"30",2/6/2018,14:42:16,51.547203,-0.023345,0.11,66.3,"335"
-2599.08747104135,6718664.40681749,"31",2/6/2018,14:42:17,51.547203,-0.023348,0.04,66.3,"342"
-2598.86483205976,6718663.69078652,"32",2/6/2018,14:42:18,51.547199,-0.023346,0.65,66.3,"348"
-2598.75351256897,6718662.43773249,"33",2/6/2018,14:42:19,51.547192,-0.023345,0.78,66.3,"349"
-2598.97615155056,6718662.97475562,"34",2/6/2018,14:42:20,51.547195,-0.023347,1.09,66.3,"353"
-2598.97615155056,6718662.97475562,"35",2/6/2018,14:42:20,51.547195,-0.023347,1.09,65.8,"356"
-2599.08747104135,6718663.69078652,"36",2/6/2018,14:42:21,51.547199,-0.023348,1.19,65.8,"354"
-2599.08747104135,6718663.69078652,"37",2/6/2018,14:42:21,51.547199,-0.023348,1.19,65.1,"362"
-2598.53087358738,6718664.40681749,"38",2/6/2018,14:42:22,51.547203,-0.023343,0.46,65.1,"353"
-2598.19691511501,6718665.8388796,"39",2/6/2018,14:42:23,51.547211,-0.02334,0.67,65.1,"351"
-2598.3082346058,6718665.8388796,"40",2/6/2018,14:42:24,51.547211,-0.023341,0.26,65.1,"352"
-2598.3082346058,6718665.8388796,"41",2/6/2018,14:42:24,51.547211,-0.023341,0.26,62.5,"358"
-2598.64219307818,6718666.55491076,"42",2/6/2018,14:42:25,51.547215,-0.023344,0.46,62.5,"353"
-2598.64219307818,6718666.55491076,"43",2/6/2018,14:42:25,51.547215,-0.023344,0.46,61.1,"358"
-2598.64219307818,6718666.55491076,"44",2/6/2018,14:42:26,51.547215,-0.023344,0.76,61.1,"352"
-2598.19691511501,6718665.12284851,"45",2/6/2018,14:42:27,51.547207,-0.02334,1.22,61.1,"351"
-2596.52712275311,6718662.97475562,"46",2/6/2018,14:42:28,51.547195,-0.023325,4.13,61.1,"352"
-2595.41392784517,6718661.72170169,"47",2/6/2018,14:42:29,51.547188,-0.023315,4.67,61.1,"354"
-2595.41392784517,6718661.72170169,"48",2/6/2018,14:42:29,51.547188,-0.023315,4.67,58.7,"358"
-2594.85733039121,6718659.5736097,"49",2/6/2018,14:42:30,51.547176,-0.02331,3.56,58.7,"352"
-2594.63469140962,6718658.32055629,"50",2/6/2018,14:42:31,51.547169,-0.023308,4.24,58.7,"353"
-2594.18941344645,6718657.60452586,"51",2/6/2018,14:42:32,51.547165,-0.023304,3.98,58.7,"353"
-2594.18941344645,6718657.60452586,"52",2/6/2018,14:42:32,51.547165,-0.023304,3.98,58.9,"358"
-2593.18753802931,6718654.91941231,"53",2/6/2018,14:42:33,51.54715,-0.023295,4.33,58.9,"353"
-2593.18753802931,6718654.91941231,"54",2/6/2018,14:42:33,51.54715,-0.023295,4.33,59.1,"356"
-2592.18566261217,6718652.05529217,"55",2/6/2018,14:42:34,51.547134,-0.023286,3.46,59.1,"353"
-2592.18566261217,6718652.05529217,"56",2/6/2018,14:42:34,51.547134,-0.023286,3.46,59.7,"357"
-2591.51774566741,6718650.08621015,"57",2/6/2018,14:42:35,51.547123,-0.02328,3.33,59.7,"353"
-2591.51774566741,6718650.08621015,"58",2/6/2018,14:42:35,51.547123,-0.02328,3.33,59.9,"359"
-2591.07246770424,6718649.37018045,"59",2/6/2018,14:42:36,51.547119,-0.023276,3.3,59.9,"352"
-2591.07246770424,6718649.37018045,"60",2/6/2018,14:42:36,51.547119,-0.023276,3.3,60.7,"356"
-2590.18191177789,6718648.11712862,"61",2/6/2018,14:42:37,51.547112,-0.023268,3.87,60.7,"352"
-2590.18191177789,6718648.11712862,"62",2/6/2018,14:42:37,51.547112,-0.023268,3.87,60.5,"356"
-2589.51399483313,6718648.11712862,"63",2/6/2018,14:42:38,51.547112,-0.023262,2.3,60.5,"353"
-2589.51399483313,6718648.11712862,"64",2/6/2018,14:42:38,51.547112,-0.023262,2.3,61.6,"358"
-2589.06871686996,6718647.40109908,"65",2/6/2018,14:42:39,51.547108,-0.023258,4.5,61.6,"354"
-2589.06871686996,6718647.40109908,"66",2/6/2018,14:42:39,51.547108,-0.023258,4.5,62.9,"358"
-2588.17816094361,6718645.96904021,"67",2/6/2018,14:42:40,51.5471,-0.02325,3.06,62.9,"353"
-2588.17816094361,6718645.96904021,"68",2/6/2018,14:42:40,51.5471,-0.02325,3.06,63.4,"358"
-2587.39892450806,6718644.53698158,"69",2/6/2018,14:42:41,51.547092,-0.023243,3.7,63.4,"352"
-2587.39892450806,6718644.53698158,"70",2/6/2018,14:42:41,51.547092,-0.023243,3.7,64.3,"357"
-2586.50836858171,6718642.56790138,"71",2/6/2018,14:42:42,51.547081,-0.023235,4.72,64.3,"352"
-2586.50836858171,6718642.56790138,"72",2/6/2018,14:42:42,51.547081,-0.023235,4.72,64.7,"357"
-2585.50649316457,6718640.59882166,"73",2/6/2018,14:42:43,51.54707,-0.023226,5.13,64.7,"353"
-2585.50649316457,6718640.59882166,"74",2/6/2018,14:42:43,51.54707,-0.023226,5.13,65.5,"356"
-2584.61593723823,6718639.16676398,"75",2/6/2018,14:42:44,51.547062,-0.023218,3.65,65.5,"352"
-2584.61593723823,6718639.16676398,"76",2/6/2018,14:42:44,51.547062,-0.023218,3.65,65.9,"356"
-2584.05933978426,6718636.48165651,"77",2/6/2018,14:42:45,51.547047,-0.023213,4.22,65.9,"353"
-2584.05933978426,6718636.48165651,"78",2/6/2018,14:42:45,51.547047,-0.023213,4.22,65.8,"357"
-2583.16878385791,6718636.48165651,"79",2/6/2018,14:42:46,51.547047,-0.023205,4.13,65.8,"351"
-2583.16878385791,6718636.48165651,"80",2/6/2018,14:42:46,51.547047,-0.023205,4.13,63.8,"355"
-2582.38954742236,6718634.33357117,"81",2/6/2018,14:42:47,51.547035,-0.023198,3.7,63.8,"353"
-2582.38954742236,6718634.33357117,"82",2/6/2018,14:42:47,51.547035,-0.023198,3.7,63.4,"357"
-2581.94426945919,6718632.36449344,"83",2/6/2018,14:42:48,51.547024,-0.023194,3.17,63.4,"352"
-2581.94426945919,6718632.36449344,"84",2/6/2018,14:42:48,51.547024,-0.023194,3.17,64.1,"356"
-2581.05371353284,6718631.64846529,"85",2/6/2018,14:42:49,51.54702,-0.023186,3.22,64.1,"351"
-2581.05371353284,6718631.64846529,"86",2/6/2018,14:42:49,51.54702,-0.023186,3.22,64.1,"356"
-2580.49711607887,6718630.21640919,"87",2/6/2018,14:42:50,51.547012,-0.023181,3.11,64.1,"352"
-2580.49711607887,6718630.21640919,"88",2/6/2018,14:42:50,51.547012,-0.023181,3.11,62.8,"356"
-2579.82919913412,6718628.9633603,"89",2/6/2018,14:42:51,51.547005,-0.023175,2.82,62.8,"352"
-2579.82919913412,6718628.9633603,"90",2/6/2018,14:42:51,51.547005,-0.023175,2.82,62.4,"355"
-2579.04996269856,6718628.24733245,"91",2/6/2018,14:42:52,51.547001,-0.023168,2.83,62.4,"351"
-2577.49148982746,6718626.09924928,"92",2/6/2018,14:42:53,51.546989,-0.023154,2.93,62.4,"350"
-2576.48961441032,6718625.56222858,"93",2/6/2018,14:42:54,51.546986,-0.023145,3.87,62.4,"350"
-2575.59905848397,6718624.13017355,"94",2/6/2018,14:42:55,51.546978,-0.023137,3.46,62.4,"350"
-2574.59718306683,6718622.16109828,"95",2/6/2018,14:42:56,51.546967,-0.023128,3.35,62.4,"350"
-2574.37454408524,6718619.29698966,"96",2/6/2018,14:42:57,51.546951,-0.023126,3.72,62.4,"350"
-2573.81794663128,6718617.32791556,"97",2/6/2018,14:42:58,51.54694,-0.023121,3.96,62.4,"350"
-2572.81607121414,6718615.17983527,"98",2/6/2018,14:42:59,51.546928,-0.023112,3.04,62.4,"349"
-2572.48211274176,6718613.21076217,"99",2/6/2018,14:43:0,51.546917,-0.023109,3.15,62.4,"351"
-2572.37079325097,6718611.77870931,"100",2/6/2018,14:43:1,51.546909,-0.023108,3.06,62.4,"352"
-2572.37079325097,6718611.77870931,"101",2/6/2018,14:43:1,51.546909,-0.023108,3.06,62.1,"355"
-2572.14815426938,6718610.52566326,"102",2/6/2018,14:43:2,51.546902,-0.023106,3.93,62.1,"351"
-2571.03495936145,6718608.37758476,"103",2/6/2018,14:43:3,51.54689,-0.023096,3.8,62.1,"349"
-2570.36704241669,6718606.40851331,"104",2/6/2018,14:43:4,51.546879,-0.02309,3.26,62.1,"349"
-2569.47648649034,6718605.69248744,"105",2/6/2018,14:43:5,51.546875,-0.023082,3.41,62.1,"351"
-2569.47648649034,6718605.69248744,"106",2/6/2018,14:43:5,51.546875,-0.023082,3.41,63.8,"355"
-2568.91988903637,6718604.97646164,"107",2/6/2018,14:43:6,51.546871,-0.023077,1.65,63.8,"348"
-2569.36516699955,6718604.97646164,"108",2/6/2018,14:43:7,51.546871,-0.023081,0.8,63.8,"349"
-2569.36516699955,6718604.97646164,"109",2/6/2018,14:43:7,51.546871,-0.023081,0.8,63.1,"354"
-2569.92176445351,6718604.2604359,"110",2/6/2018,14:43:8,51.546867,-0.023086,0.56,63.1,"351"
-2569.92176445351,6718604.2604359,"111",2/6/2018,14:43:8,51.546867,-0.023086,0.56,63.9,"355"
-2570.36704241669,6718604.97646164,"112",2/6/2018,14:43:9,51.546871,-0.02309,0.39,63.9,"350"
-2570.70100088907,6718604.97646164,"113",2/6/2018,14:43:10,51.546871,-0.023093,0.13,63.9,"350"
-2570.70100088907,6718604.97646164,"114",2/6/2018,14:43:10,51.546871,-0.023093,0.13,64.4,"353"
-2570.58968139827,6718605.69248744,"115",2/6/2018,14:43:11,51.546875,-0.023092,0.06,64.4,"351"
-2570.58968139827,6718605.69248744,"116",2/6/2018,14:43:11,51.546875,-0.023092,0.06,64.4,"355"
-2570.58968139827,6718606.40851331,"117",2/6/2018,14:43:12,51.546879,-0.023092,0.26,64.4,"350"
-2570.70100088907,6718606.40851331,"118",2/6/2018,14:43:13,51.546879,-0.023093,0.09,64.4,"350"
-2570.70100088907,6718606.40851331,"119",2/6/2018,14:43:13,51.546879,-0.023093,0.09,64.5,"353"
-2571.59155681541,6718607.12453924,"120",2/6/2018,14:43:14,51.546883,-0.023101,0.65,64.5,"350"
-2572.03683477859,6718607.12453924,"121",2/6/2018,14:43:15,51.546883,-0.023105,2.04,64.5,"353"
-2572.03683477859,6718607.12453924,"122",2/6/2018,14:43:16,51.546883,-0.023105,2.87,64.5,"350"
-2572.03683477859,6718607.12453924,"123",2/6/2018,14:43:16,51.546883,-0.023105,2.87,62.4,"358"
-2571.25759834303,6718605.69248744,"124",2/6/2018,14:43:17,51.546875,-0.023098,3.5,62.4,"351"
-2570.47836190748,6718604.97646164,"125",2/6/2018,14:43:18,51.546871,-0.023091,3.2,62.4,"349"
-2570.47836190748,6718604.97646164,"126",2/6/2018,14:43:18,51.546871,-0.023091,3.2,59.4,"356"
-2570.03308394431,6718604.2604359,"127",2/6/2018,14:43:19,51.546867,-0.023087,2.93,59.4,"351"
-2569.03120852717,6718603.72341664,"128",2/6/2018,14:43:20,51.546864,-0.023078,2.54,59.4,"350"
-2568.36329158241,6718602.29136544,"129",2/6/2018,14:43:21,51.546856,-0.023072,2.96,59.4,"347"
-2568.36329158241,6718602.29136544,"130",2/6/2018,14:43:21,51.546856,-0.023072,2.96,57.7,"358"
-2567.69537463765,6718601.57533994,"131",2/6/2018,14:43:22,51.546852,-0.023066,2.13,57.7,"349"
-2567.36141616527,6718600.8593145,"132",2/6/2018,14:43:23,51.546848,-0.023063,1.39,57.7,"347"
-2566.58217972972,6718601.57533994,"133",2/6/2018,14:43:24,51.546852,-0.023056,0.78,57.7,"350"
-2566.58217972972,6718601.57533994,"134",2/6/2018,14:43:24,51.546852,-0.023056,0.78,58.4,"353"
-2566.02558227575,6718600.14328912,"135",2/6/2018,14:43:25,51.546844,-0.023051,0.89,58.4,"350"
-2566.02558227575,6718600.14328912,"136",2/6/2018,14:43:25,51.546844,-0.023051,0.89,59.3,"355"
-2565.2463458402,6718602.29136544,"137",2/6/2018,14:43:26,51.546856,-0.023044,1.44,59.3,"351"
-2564.91238736782,6718600.8593145,"138",2/6/2018,14:43:27,51.546848,-0.023041,1.22,59.3,"350"
-2564.91238736782,6718600.8593145,"139",2/6/2018,14:43:27,51.546848,-0.023041,1.22,57.4,"355"
-2564.80106787702,6718600.14328912,"140",2/6/2018,14:43:28,51.546844,-0.02304,0.52,57.4,"350"
-2565.46898482178,6718598.89024486,"141",2/6/2018,14:43:29,51.546837,-0.023046,0.74,57.4,"349"
-2565.46898482178,6718598.89024486,"142",2/6/2018,14:43:29,51.546837,-0.023046,0.74,58,"353"
-2565.46898482178,6718599.60627013,"143",2/6/2018,14:43:30,51.546841,-0.023046,0.17,58,"351"
-2563.5765534783,6718600.14328912,"144",2/6/2018,14:43:31,51.546844,-0.023029,0.35,58,"350"
-2563.5765534783,6718600.14328912,"145",2/6/2018,14:43:31,51.546844,-0.023029,0.35,55.1,"355"
-2562.24071958878,6718601.57533994,"146",2/6/2018,14:43:32,51.546852,-0.023017,0.3,55.1,"350"
-2561.35016366243,6718603.00739101,"147",2/6/2018,14:43:33,51.54686,-0.023009,0.78,55.1,"350"
-2561.35016366243,6718603.00739101,"148",2/6/2018,14:43:33,51.54686,-0.023009,0.78,50.1,"354"
-2560.57092722688,6718604.2604359,"149",2/6/2018,14:43:34,51.546867,-0.023002,0.74,50.1,"351"
-2559.56905180974,6718605.69248744,"150",2/6/2018,14:43:35,51.546875,-0.022993,0.56,50.1,"352"
-2559.56905180974,6718605.69248744,"151",2/6/2018,14:43:35,51.546875,-0.022993,0.56,46,"355"
-2558.34453741101,6718605.69248744,"152",2/6/2018,14:43:36,51.546875,-0.022982,0.72,46,"351"
-2557.00870352149,6718605.69248744,"153",2/6/2018,14:43:37,51.546875,-0.02297,0.87,46,"350"
-2555.2275916688,6718604.97646164,"154",2/6/2018,14:43:38,51.546871,-0.022954,2.07,46,"351"
-2555.2275916688,6718604.97646164,"155",2/6/2018,14:43:38,51.546871,-0.022954,2.07,41.3,"355"
-2553.78043828849,6718604.97646164,"156",2/6/2018,14:43:39,51.546871,-0.022941,2.39,41.3,"351"
-2553.78043828849,6718604.97646164,"157",2/6/2018,14:43:39,51.546871,-0.022941,2.39,39.6,"355"
-2552.22196541738,6718603.72341664,"158",2/6/2018,14:43:40,51.546864,-0.022927,3.04,39.6,"350"
-2552.22196541738,6718603.72341664,"159",2/6/2018,14:43:40,51.546864,-0.022927,3.04,39,"354"
-2550.55217305548,6718603.00739101,"160",2/6/2018,14:43:41,51.54686,-0.022912,1.89,39,"351"
-2550.55217305548,6718603.00739101,"161",2/6/2018,14:43:41,51.54686,-0.022912,1.89,38.8,"353"
-2550.88613152786,6718601.57533994,"162",2/6/2018,14:43:42,51.546852,-0.022915,1.65,38.8,"351"
-2550.88613152786,6718601.57533994,"163",2/6/2018,14:43:42,51.546852,-0.022915,1.65,37.4,"354"
-2551.55404847262,6718600.14328912,"164",2/6/2018,14:43:43,51.546844,-0.022921,1.74,37.4,"352"
-2551.55404847262,6718600.14328912,"165",2/6/2018,14:43:43,51.546844,-0.022921,1.74,37.5,"355"
-2551.55404847262,6718597.45819451,"166",2/6/2018,14:43:44,51.546829,-0.022921,1.41,37.5,"355"
-2551.888006945,6718596.20515066,"167",2/6/2018,14:43:45,51.546822,-0.022924,0.2,37.5,"352"
-2551.888006945,6718596.20515066,"168",2/6/2018,14:43:45,51.546822,-0.022924,0.2,39.5,"357"
-2552.88988236214,6718595.4891257,"169",2/6/2018,14:43:46,51.546818,-0.022933,2.83,39.5,"353"
-2552.88988236214,6718595.4891257,"170",2/6/2018,14:43:46,51.546818,-0.022933,2.83,39.1,"355"
-2554.33703574246,6718594.05707595,"171",2/6/2018,14:43:47,51.54681,-0.022946,3.94,39.1,"352"
-2554.33703574246,6718594.05707595,"172",2/6/2018,14:43:47,51.54681,-0.022946,3.94,38.7,"356"
-2555.78418912277,6718592.08800796,"173",2/6/2018,14:43:48,51.546799,-0.022959,3.72,38.7,"350"
-2555.78418912277,6718592.08800796,"174",2/6/2018,14:43:48,51.546799,-0.022959,3.72,39.3,"355"
-2557.00870352149,6718590.65595881,"175",2/6/2018,14:43:49,51.546791,-0.02297,3.65,39.3,"350"
-2557.00870352149,6718590.65595881,"176",2/6/2018,14:43:49,51.546791,-0.02297,3.65,39.5,"354"
-2557.78793995705,6718589.22390991,"177",2/6/2018,14:43:50,51.546783,-0.022977,2.67,39.5,"350"
-2557.78793995705,6718589.22390991,"178",2/6/2018,14:43:50,51.546783,-0.022977,2.67,39.3,"355"
-2558.78981537419,6718587.97086733,"179",2/6/2018,14:43:51,51.546776,-0.022986,3.26,39.3,"351"
-2558.78981537419,6718587.97086733,"180",2/6/2018,14:43:51,51.546776,-0.022986,3.26,39.5,"355"
-2560.2369687545,6718585.82279478,"181",2/6/2018,14:43:52,51.546764,-0.022999,1.8,39.5,"351"
-2560.2369687545,6718585.82279478,"182",2/6/2018,14:43:52,51.546764,-0.022999,1.8,41.1,"356"
-2560.57092722688,6718584.56975273,"183",2/6/2018,14:43:53,51.546757,-0.023002,1.98,41.1,"351"
-2560.57092722688,6718584.56975273,"184",2/6/2018,14:43:53,51.546757,-0.023002,1.98,41.3,"354"
-2561.46148315322,6718583.1377049,"185",2/6/2018,14:43:54,51.546749,-0.02301,2.85,41.3,"351"
-2561.46148315322,6718583.1377049,"186",2/6/2018,14:43:54,51.546749,-0.02301,2.85,42.1,"352"
-2562.57467806116,6718581.70565732,"187",2/6/2018,14:43:55,51.546741,-0.02302,2.06,42.1,"349"
-2562.57467806116,6718581.70565732,"188",2/6/2018,14:43:55,51.546741,-0.02302,2.06,42.8,"354"
-2563.91051195068,6718580.4526159,"189",2/6/2018,14:43:56,51.546734,-0.023032,5.39,42.8,"349"
-2563.91051195068,6718580.4526159,"190",2/6/2018,14:43:56,51.546734,-0.023032,5.39,42,"353"
-2565.35766533099,6718579.02056879,"191",2/6/2018,14:43:57,51.546726,-0.023045,4.32,42,"350"
-2565.35766533099,6718579.02056879,"192",2/6/2018,14:43:57,51.546726,-0.023045,4.32,41.6,"355"
-2567.02745769289,6718577.05150443,"193",2/6/2018,14:43:58,51.546715,-0.02306,4.2,41.6,"350"
-2567.02745769289,6718577.05150443,"194",2/6/2018,14:43:58,51.546715,-0.02306,4.2,41.4,"355"
-2569.47648649034,6718576.33548115,"195",2/6/2018,14:43:59,51.546711,-0.023082,5.17,41.4,"349"
-2569.47648649034,6718576.33548115,"196",2/6/2018,14:43:59,51.546711,-0.023082,5.17,40.2,"353"
-2570.81232037986,6718575.61945793,"197",2/6/2018,14:44:0,51.546707,-0.023094,3.17,40.2,"350"
-2570.81232037986,6718575.61945793,"198",2/6/2018,14:44:0,51.546707,-0.023094,3.17,40.6,"349"
