X,Y,Count,Date,Time,Lat,Long,Speed,Altitude,GSR
-2612.44580993654,6718678.01141778,"0",2/6/2018,14:42:1,51.547279,-0.023468,0.44,0,"287"
-2612.11185146416,6718676.04232949,"1",2/6/2018,14:42:2,51.547268,-0.023465,0.17,0,"262"
-2612.11185146416,6718675.3262975,"2",2/6/2018,14:42:3,51.547264,-0.023465,0.56,0,"258"
-2612.11185146416,6718675.3262975,"3",2/6/2018,14:42:3,51.547264,-0.023465,0.56,58.7,"262"
-2610.88733706544,6718673.89423371,"4",2/6/2018,14:42:4,51.547256,-0.023454,0.78,58.7,"258"
-2610.88733706544,6718673.89423371,"5",2/6/2018,14:42:4,51.547256,-0.023454,0.78,59.3,"259"
-2610.77601757465,6718672.6411781,"6",2/6/2018,14:42:5,51.547249,-0.023453,0.8,59.3,"261"
-2611.5552540102,6718673.89423371,"7",2/6/2018,14:42:6,51.547256,-0.02346,0.19,59.3,"257"
-2611.5552540102,6718673.89423371,"8",2/6/2018,14:42:6,51.547256,-0.02346,0.19,58.3,"260"
-2611.22129553782,6718674.61026557,"9",2/6/2018,14:42:7,51.54726,-0.023457,0.19,58.3,"258"
-2611.22129553782,6718674.61026557,"10",2/6/2018,14:42:7,51.54726,-0.023457,0.19,58.1,"260"
-2610.99865655623,6718671.92514641,"11",2/6/2018,14:42:8,51.547245,-0.023455,0.72,58.1,"257"
-2611.5552540102,6718667.80796543,"12",2/6/2018,14:42:9,51.547222,-0.02346,0.43,58.1,"256"
-2612.44580993654,6718666.55491076,"13",2/6/2018,14:42:10,51.547215,-0.023468,1.2,58.1,"256"
-2612.44580993654,6718666.55491076,"14",2/6/2018,14:42:10,51.547215,-0.023468,1.2,56.3,"259"
-2612.66844891813,6718667.80796543,"15",2/6/2018,14:42:11,51.547222,-0.02347,0.89,56.3,"256"
-2611.10997604703,6718667.09193416,"16",2/6/2018,14:42:12,51.547218,-0.023456,0.76,56.3,"256"
-2611.10997604703,6718667.09193416,"17",2/6/2018,14:42:12,51.547218,-0.023456,0.76,57.5,"259"
-2610.33073961147,6718666.55491076,"18",2/6/2018,14:42:13,51.547215,-0.023449,0.11,57.5,"256"
-2610.33073961147,6718666.55491076,"19",2/6/2018,14:42:13,51.547215,-0.023449,0.11,57.6,"258"
-2610.10810062989,6718665.8388796,"20",2/6/2018,14:42:14,51.547211,-0.023447,0.85,57.6,"255"
-2610.10810062989,6718665.8388796,"21",2/6/2018,14:42:14,51.547211,-0.023447,0.85,57.4,"258"
-2609.77414215751,6718663.69078652,"22",2/6/2018,14:42:15,51.547199,-0.023444,0.07,57.4,"255"
-2609.77414215751,6718663.69078652,"23",2/6/2018,14:42:15,51.547199,-0.023444,0.07,57.2,"257"
-2609.99678113909,6718662.97475562,"24",2/6/2018,14:42:16,51.547195,-0.023446,0.06,57.2,"259"
-2609.99678113909,6718662.97475562,"25",2/6/2018,14:42:16,51.547195,-0.023446,0.06,57.1,"260"
-2610.10810062989,6718662.97475562,"26",2/6/2018,14:42:17,51.547195,-0.023447,0.11,57.1,"256"
-2610.10810062989,6718662.97475562,"27",2/6/2018,14:42:17,51.547195,-0.023447,0.11,57.1,"261"
-2609.99678113909,6718662.97475562,"28",2/6/2018,14:42:18,51.547195,-0.023446,0.07,57.1,"254"
-2609.99678113909,6718662.97475562,"29",2/6/2018,14:42:18,51.547195,-0.023446,0.07,57.8,"253"
-2610.10810062989,6718662.43773249,"30",2/6/2018,14:42:19,51.547192,-0.023447,0.24,57.8,"254"
-2610.10810062989,6718662.43773249,"31",2/6/2018,14:42:19,51.547192,-0.023447,0.24,57.8,"255"
-2609.55150317592,6718661.72170169,"32",2/6/2018,14:42:20,51.547188,-0.023442,0.76,57.8,"255"
-2609.55150317592,6718661.72170169,"33",2/6/2018,14:42:20,51.547188,-0.023442,0.76,58.2,"259"
-2609.21754470354,6718662.43773249,"34",2/6/2018,14:42:21,51.547192,-0.023439,0.56,58.2,"258"
-2609.21754470354,6718662.43773249,"35",2/6/2018,14:42:21,51.547192,-0.023439,0.56,58.6,"264"
-2608.88358623116,6718664.40681749,"36",2/6/2018,14:42:22,51.547203,-0.023436,0.96,58.6,"259"
-2608.88358623116,6718664.40681749,"37",2/6/2018,14:42:22,51.547203,-0.023436,0.96,59.1,"260"
-2608.54962775878,6718665.8388796,"38",2/6/2018,14:42:23,51.547211,-0.023433,1.39,59.1,"258"
-2608.54962775878,6718665.8388796,"39",2/6/2018,14:42:23,51.547211,-0.023433,1.39,58.1,"259"
-2607.99303030481,6718667.09193416,"40",2/6/2018,14:42:24,51.547218,-0.023428,1.72,58.1,"257"
-2607.10247437847,6718667.80796543,"41",2/6/2018,14:42:25,51.547222,-0.02342,1.28,58.1,"254"
-2606.87983539688,6718667.09193416,"42",2/6/2018,14:42:26,51.547218,-0.023418,3.04,58.1,"251"
-2606.87983539688,6718667.09193416,"43",2/6/2018,14:42:26,51.547218,-0.023418,3.04,56.9,"255"
-2607.10247437847,6718667.09193416,"44",2/6/2018,14:42:27,51.547218,-0.02342,0.96,56.9,"254"
-2607.10247437847,6718667.09193416,"45",2/6/2018,14:42:27,51.547218,-0.02342,0.96,55.7,"257"
-2606.87983539688,6718667.09193416,"46",2/6/2018,14:42:28,51.547218,-0.023418,2.02,55.7,"254"
