WKT,id,left,top,right,bottom,GSR_mean
"MULTIPOLYGON (((-4328.0896 6719545.1596,-4278.0896 6719545.1596,-4278.0896 6719495.1596,-4328.0896 6719495.1596,-4328.0896 6719545.1596)))",1,-4328.089600000000246,6719545.159599999897182,-4278.089600000000246,6719495.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719495.1596,-4278.0896 6719495.1596,-4278.0896 6719445.1596,-4328.0896 6719445.1596,-4328.0896 6719495.1596)))",2,-4328.089600000000246,6719495.159599999897182,-4278.089600000000246,6719445.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719445.1596,-4278.0896 6719445.1596,-4278.0896 6719395.1596,-4328.0896 6719395.1596,-4328.0896 6719445.1596)))",3,-4328.089600000000246,6719445.159599999897182,-4278.089600000000246,6719395.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719395.1596,-4278.0896 6719395.1596,-4278.0896 6719345.1596,-4328.0896 6719345.1596,-4328.0896 6719395.1596)))",4,-4328.089600000000246,6719395.159599999897182,-4278.089600000000246,6719345.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719345.1596,-4278.0896 6719345.1596,-4278.0896 6719295.1596,-4328.0896 6719295.1596,-4328.0896 6719345.1596)))",5,-4328.089600000000246,6719345.159599999897182,-4278.089600000000246,6719295.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719295.1596,-4278.0896 6719295.1596,-4278.0896 6719245.1596,-4328.0896 6719245.1596,-4328.0896 6719295.1596)))",6,-4328.089600000000246,6719295.159599999897182,-4278.089600000000246,6719245.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719245.1596,-4278.0896 6719245.1596,-4278.0896 6719195.1596,-4328.0896 6719195.1596,-4328.0896 6719245.1596)))",7,-4328.089600000000246,6719245.159599999897182,-4278.089600000000246,6719195.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719195.1596,-4278.0896 6719195.1596,-4278.0896 6719145.1596,-4328.0896 6719145.1596,-4328.0896 6719195.1596)))",8,-4328.089600000000246,6719195.159599999897182,-4278.089600000000246,6719145.159599998965859,
"MULTIPOLYGON (((-4328.0896 6719145.1596,-4278.0896 6719145.1596,-4278.0896 6719095.1596,-4328.0896 6719095.1596,-4328.0896 6719145.1596)))",9,-4328.089600000000246,6719145.159599998965859,-4278.089600000000246,6719095.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719095.1596,-4278.0896 6719095.1596,-4278.0896 6719045.1596,-4328.0896 6719045.1596,-4328.0896 6719095.1596)))",10,-4328.089600000000246,6719095.159599999897182,-4278.089600000000246,6719045.159599999897182,
