Count	Date	Time	Lat	Long	Speed	Altitude	GSR
0	2/6/2018	10:17:0	51.547283	-0.022226	0.35	0.00	319
1	2/6/2018	10:17:1	51.547318	-0.022272	1.26	0.00	266
2	2/6/2018	10:17:1	51.547318	-0.022272	1.26	-41.50	259
3	2/6/2018	10:17:2	51.547325	-0.022325	3.94	-41.50	242
4	2/6/2018	10:17:2	51.547325	-0.022325	3.94	-37.40	242
5	2/6/2018	10:17:3	51.547333	-0.022402	3.39	-37.40	236
6	2/6/2018	10:17:4	51.547344	-0.022538	3.56	-37.40	232
7	2/6/2018	10:17:4	51.547344	-0.022538	3.56	-24.00	230
8	2/6/2018	10:17:5	51.547310	-0.022652	5.17	-24.00	229
9	2/6/2018	10:17:5	51.547310	-0.022652	5.17	-21.90	231
10	2/6/2018	10:17:6	51.547279	-0.022718	3.54	-21.90	227
11	2/6/2018	10:17:7	51.547264	-0.022744	3.91	-21.90	227
12	2/6/2018	10:17:7	51.547264	-0.022744	3.91	-22.40	229
13	2/6/2018	10:17:8	51.547245	-0.022767	2.98	-22.40	227
14	2/6/2018	10:17:8	51.547245	-0.022767	2.98	-23.30	231
15	2/6/2018	10:17:9	51.547241	-0.022799	3.33	-23.30	225
16	2/6/2018	10:17:10	51.547237	-0.022811	1.72	-23.30	224
17	2/6/2018	10:17:10	51.547237	-0.022811	1.72	-20.50	229
18	2/6/2018	10:17:11	51.547245	-0.022817	3.02	-20.50	227
19	2/6/2018	10:17:12	51.547272	-0.022893	3.04	-20.50	226
20	2/6/2018	10:17:12	51.547272	-0.022893	3.04	-9.30	229
21	2/6/2018	10:17:13	51.547283	-0.022963	3.11	-9.30	226
22	2/6/2018	10:17:14	51.547314	-0.022998	2.65	-9.30	221
23	2/6/2018	10:17:14	51.547314	-0.022998	2.65	-1.50	228
24	2/6/2018	10:17:15	51.547333	-0.023023	1.24	-1.50	224
25	2/6/2018	10:17:16	51.547363	-0.023039	4.19	-1.50	223
26	2/6/2018	10:17:17	51.547363	-0.023056	5.22	-1.50	223
27	2/6/2018	10:17:17	51.547363	-0.023056	5.22	14.70	224
28	2/6/2018	10:17:18	51.547375	-0.023073	1.78	14.70	218
29	2/6/2018	10:17:19	51.547382	-0.023085	4.09	14.70	214
30	2/6/2018	10:17:19	51.547382	-0.023085	4.09	20.70	220
31	2/6/2018	10:17:20	51.547379	-0.023097	3.24	20.70	219
32	2/6/2018	10:17:21	51.547398	-0.023128	4.80	20.70	221
33	2/6/2018	10:17:21	51.547398	-0.023128	4.80	26.20	224
34	2/6/2018	10:17:22	51.547413	-0.023129	1.22	26.20	216
35	2/6/2018	10:17:23	51.547413	-0.023138	2.91	26.20	213
36	2/6/2018	10:17:24	51.547428	-0.023130	1.09	26.20	219
37	2/6/2018	10:17:24	51.547428	-0.023130	1.09	31.30	224
38	2/6/2018	10:17:25	51.547413	-0.023121	4.07	31.30	220
39	2/6/2018	10:17:26	51.547421	-0.023124	1.07	31.30	214
40	2/6/2018	10:17:27	51.547405	-0.023122	2.22	31.30	212
41	2/6/2018	10:17:28	51.547428	-0.023122	2.74	31.30	216
42	2/6/2018	10:17:28	51.547428	-0.023122	2.74	37.60	221
43	2/6/2018	10:17:29	51.547413	-0.023112	1.59	37.60	218
44	2/6/2018	10:17:29	51.547413	-0.023112	1.59	38.80	224
45	2/6/2018	10:17:30	51.547413	-0.023111	2.20	38.80	216
46	2/6/2018	10:17:30	51.547413	-0.023111	2.20	40.20	218
47	2/6/2018	10:17:31	51.547409	-0.023107	2.20	40.20	214
48	2/6/2018	10:17:31	51.547409	-0.023107	2.20	41.50	215
49	2/6/2018	10:17:32	51.547405	-0.023104	1.11	41.50	215
50	2/6/2018	10:17:33	51.547405	-0.023104	5.30	41.50	215
51	2/6/2018	10:17:34	51.547390	-0.023100	5.65	41.50	217
52	2/6/2018	10:17:35	51.547382	-0.023094	1.59	41.50	214
53	2/6/2018	10:17:35	51.547382	-0.023094	1.59	43.50	216
54	2/6/2018	10:17:36	51.547375	-0.023090	1.83	43.50	216
55	2/6/2018	10:17:36	51.547375	-0.023090	1.83	44.70	218
56	2/6/2018	10:17:37	51.547379	-0.023088	0.43	44.70	218
57	2/6/2018	10:17:38	51.547379	-0.023088	2.69	44.70	216
58	2/6/2018	10:17:39	51.547367	-0.023088	0.63	44.70	213
59	2/6/2018	10:17:39	51.547367	-0.023088	0.63	47.60	217
60	2/6/2018	10:17:40	51.547359	-0.023083	1.33	47.60	213
61	2/6/2018	10:17:40	51.547359	-0.023083	1.33	47.90	217
62	2/6/2018	10:17:41	51.547344	-0.023073	0.70	47.90	218
63	2/6/2018	10:17:41	51.547344	-0.023073	0.70	48.40	221
64	2/6/2018	10:17:42	51.547298	-0.023052	0.19	48.40	218
65	2/6/2018	10:17:43	51.547310	-0.023056	2.07	48.40	211
66	2/6/2018	10:17:44	51.547318	-0.023057	1.17	48.40	208
67	2/6/2018	10:17:44	51.547318	-0.023057	1.17	52.90	215
68	2/6/2018	10:17:45	51.547310	-0.023055	1.07	52.90	215
69	2/6/2018	10:17:46	51.547279	-0.023046	3.70	52.90	214
70	2/6/2018	10:17:46	51.547279	-0.023046	3.70	54.30	219
71	2/6/2018	10:17:47	51.547268	-0.023045	0.78	54.30	210
72	2/6/2018	10:17:48	51.547237	-0.023033	1.28	54.30	209
73	2/6/2018	10:17:49	51.546497	-0.022644	1.80	54.30	213
74	2/6/2018	10:17:49	51.546497	-0.022644	1.80	105.10	217
75	2/6/2018	10:17:50	51.546635	-0.022722	1.61	105.10	214
76	2/6/2018	10:17:51	51.546627	-0.022724	1.50	105.10	210
77	2/6/2018	10:17:51	51.546627	-0.022724	1.50	97.10	215
78	2/6/2018	10:17:52	51.546585	-0.022735	1.02	97.10	210
79	2/6/2018	10:17:53	51.546532	-0.022730	0.59	97.10	209
80	2/6/2018	10:17:53	51.546532	-0.022730	0.59	86.50	216
81	2/6/2018	10:17:54	51.546505	-0.022731	4.57	86.50	213
82	2/6/2018	10:17:55	51.546280	-0.022719	4.06	86.50	215
83	2/6/2018	10:17:56	51.546124	-0.022685	2.72	86.50	212
84	2/6/2018	10:17:56	51.546124	-0.022685	2.72	61.20	211
85	2/6/2018	10:17:57	51.546059	-0.022687	2.82	61.20	210
86	2/6/2018	10:17:58	51.546017	-0.022679	3.39	61.20	213
87	2/6/2018	10:17:58	51.546017	-0.022679	3.39	57.70	219
88	2/6/2018	10:17:59	51.545967	-0.022686	3.70	57.70	219
89	2/6/2018	10:17:59	51.545967	-0.022686	3.70	53.90	221
90	2/6/2018	10:18:0	51.545959	-0.022695	3.33	53.90	215
91	2/6/2018	10:18:1	51.545952	-0.022704	3.00	53.90	210
92	2/6/2018	10:18:1	51.545952	-0.022704	3.00	51.60	216
93	2/6/2018	10:18:2	51.545952	-0.022719	3.07	51.60	212
94	2/6/2018	10:18:3	51.545948	-0.022730	4.59	51.60	215
95	2/6/2018	10:18:3	51.545948	-0.022730	4.59	49.70	218
96	2/6/2018	10:18:4	51.545944	-0.022743	3.37	49.70	212
97	2/6/2018	10:18:4	51.545944	-0.022743	3.37	48.90	217
98	2/6/2018	10:18:5	51.545948	-0.022761	3.46	48.90	211
99	2/6/2018	10:18:6	51.545959	-0.022779	3.46	48.90	211
100	2/6/2018	10:18:7	51.545975	-0.022798	4.19	48.90	211
101	2/6/2018	10:18:7	51.545975	-0.022798	4.19	45.00	215
102	2/6/2018	10:18:8	51.545982	-0.022817	3.50	45.00	208
103	2/6/2018	10:18:9	51.545994	-0.022838	4.06	45.00	205
104	2/6/2018	10:18:9	51.545994	-0.022838	4.06	43.20	209
105	2/6/2018	10:18:10	51.546001	-0.022858	3.65	43.20	207
106	2/6/2018	10:18:11	51.546024	-0.022883	3.41	43.20	209
107	2/6/2018	10:18:11	51.546024	-0.022883	3.41	41.80	216
108	2/6/2018	10:18:12	51.546036	-0.022905	3.69	41.80	211
109	2/6/2018	10:18:13	51.546043	-0.022922	3.85	41.80	211
110	2/6/2018	10:18:13	51.546043	-0.022922	3.85	40.00	209
111	2/6/2018	10:18:14	51.546047	-0.022939	3.78	40.00	209
112	2/6/2018	10:18:15	51.546047	-0.022954	3.59	40.00	211
113	2/6/2018	10:18:16	51.546028	-0.022960	5.02	40.00	211
114	2/6/2018	10:18:16	51.546028	-0.022960	5.02	38.80	211
115	2/6/2018	10:18:17	51.546036	-0.022978	4.04	38.80	207
116	2/6/2018	10:18:17	51.546036	-0.022978	4.04	38.40	209
117	2/6/2018	10:18:18	51.546051	-0.023001	4.50	38.40	210
118	2/6/2018	10:18:19	51.546055	-0.023013	1.52	38.40	210
119	2/6/2018	10:18:20	51.546055	-0.023026	3.59	38.40	210
120	2/6/2018	10:18:20	51.546055	-0.023026	3.59	36.40	214
121	2/6/2018	10:18:21	51.546066	-0.023051	4.11	36.40	207
122	2/6/2018	10:18:22	51.546082	-0.023073	4.48	36.40	202
123	2/6/2018	10:18:23	51.546089	-0.023091	3.37	36.40	207
124	2/6/2018	10:18:23	51.546089	-0.023091	3.37	32.20	213
125	2/6/2018	10:18:24	51.546223	-0.023167	4.04	32.20	210
126	2/6/2018	10:18:24	51.546223	-0.023167	4.04	25.40	214
127	2/6/2018	10:18:25	51.546238	-0.023188	3.65	25.40	205
128	2/6/2018	10:18:25	51.546238	-0.023188	3.65	23.90	211
129	2/6/2018	10:18:26	51.546371	-0.023272	3.69	23.90	205
130	2/6/2018	10:18:26	51.546371	-0.023272	3.69	17.90	207
131	2/6/2018	10:18:27	51.546474	-0.023334	3.46	17.90	209
132	2/6/2018	10:18:28	51.546497	-0.023364	4.13	17.90	209
133	2/6/2018	10:18:29	51.546494	-0.023378	4.43	17.90	206
134	2/6/2018	10:18:29	51.546494	-0.023378	4.43	11.30	208
135	2/6/2018	10:18:30	51.546505	-0.023398	3.15	11.30	206
136	2/6/2018	10:18:31	51.546513	-0.023423	4.30	11.30	206
137	2/6/2018	10:18:32	51.546516	-0.023444	2.93	11.30	208
138	2/6/2018	10:18:32	51.546516	-0.023444	2.93	9.20	211
139	2/6/2018	10:18:33	51.546509	-0.023456	3.52	9.20	209
140	2/6/2018	10:18:34	51.546505	-0.023467	3.72	9.20	205
141	2/6/2018	10:18:34	51.546505	0.033333	3.72	44.00	207
142	2/6/2018	10:18:35	51.546494	-0.023486	3.15	44.00	205
143	2/6/2018	10:18:35	51.546494	-0.023486	3.15	9.30	209
144	2/6/2018	10:18:36	51.546486	-0.023497	4.04	9.30	208
145	2/6/2018	10:18:37	51.546482	-0.023514	4.52	9.30	207
146	2/6/2018	10:18:38	51.546474	-0.023526	3.24	9.30	205
147	2/6/2018	10:18:38	51.546474	-0.023526	3.24	8.20	209
148	2/6/2018	10:18:37	51.546471	-0.023543	4.59	8.20	201
149	2/6/2018	10:18:37	51.546471	-0.023543	4.59	7.80	207
150	2/6/2018	10:18:38	51.546471	-0.023569	4.19	7.80	206
151	2/6/2018	10:18:39	51.546467	-0.023581	3.02	7.80	208
152	2/6/2018	10:18:40	51.546463	-0.023598	3.80	7.80	202
153	2/6/2018	10:18:41	51.546459	-0.023619	5.32	7.80	199
154	2/6/2018	10:18:41	51.546459	-0.023619	5.32	8.70	203
155	2/6/2018	10:18:42	51.546463	-0.023639	2.96	8.70	202
156	2/6/2018	10:18:42	51.546463	-0.023639	2.96	9.30	209
157	2/6/2018	10:18:43	51.546467	-0.023657	2.48	9.30	203
158	2/6/2018	10:18:44	51.546467	-0.023669	4.54	9.30	203
159	2/6/2018	10:18:44	51.546467	-0.023669	4.54	9.20	206
160	2/6/2018	10:18:45	51.546467	-0.023686	4.07	9.20	204
161	2/6/2018	10:18:45	51.546467	-0.023686	4.07	8.90	204
162	2/6/2018	10:18:46	51.546474	-0.023704	4.35	8.90	205
163	2/6/2018	10:18:47	51.546474	-0.023721	3.93	8.90	205
164	2/6/2018	10:18:48	51.546474	-0.023736	3.56	8.90	206
165	2/6/2018	10:18:48	51.546474	-0.023736	3.56	9.00	206
166	2/6/2018	10:18:49	51.546474	-0.023754	3.93	9.00	204
167	2/6/2018	10:18:49	51.546474	-0.023754	3.93	9.50	206
168	2/6/2018	10:18:50	51.546463	-0.023772	6.28	9.50	204
169	2/6/2018	10:18:50	51.546463	-0.023772	6.28	9.00	209
170	2/6/2018	10:18:51	51.546452	-0.023788	4.82	9.00	206
171	2/6/2018	10:18:51	51.546452	-0.023788	4.82	8.00	210
172	2/6/2018	10:18:52	51.546440	-0.023804	4.91	8.00	208
173	2/6/2018	10:18:53	51.546432	-0.023820	4.89	8.00	202
174	2/6/2018	10:18:54	51.546429	-0.023828	4.22	8.00	201
175	2/6/2018	10:18:54	51.546429	-0.023828	4.22	7.10	206
176	2/6/2018	10:18:55	51.546421	-0.023839	4.35	7.10	205
177	2/6/2018	10:18:55	51.546421	-0.023839	4.35	6.80	209
178	2/6/2018	10:18:56	51.546413	-0.023848	4.43	6.80	206
179	2/6/2018	10:18:57	51.546417	-0.023846	4.22	6.80	200
180	2/6/2018	10:18:58	51.546421	-0.023849	1.00	6.80	197
181	2/6/2018	10:18:59	51.546417	-0.023857	1.19	6.80	202
182	2/6/2018	10:18:59	51.546417	-0.023857	1.19	6.40	207
183	2/6/2018	10:19:0	51.546421	-0.023860	1.20	6.40	203
184	2/6/2018	10:19:1	51.546413	-0.023861	2.72	6.40	199
185	2/6/2018	10:19:2	51.546402	-0.023862	4.09	6.40	198
186	2/6/2018	10:19:3	51.546368	-0.023860	3.63	6.40	198
187	2/6/2018	10:19:4	51.546356	-0.023860	3.33	6.40	201
188	2/6/2018	10:19:4	51.546356	-0.023860	3.33	1.80	208
189	2/6/2018	10:19:5	51.546345	-0.023868	1.93	1.80	203
190	2/6/2018	10:19:5	51.546345	-0.023868	1.93	1.40	204
191	2/6/2018	10:19:6	51.546333	-0.023863	0.56	1.40	203
192	2/6/2018	10:19:7	51.546333	-0.023867	0.30	1.40	201
193	2/6/2018	10:19:8	51.546333	-0.023873	0.24	1.40	203
194	2/6/2018	10:19:8	51.546333	-0.023873	0.24	1.90	207
195	2/6/2018	10:19:9	51.546322	-0.023873	1.52	1.90	206
196	2/6/2018	10:19:10	51.546303	-0.023873	4.57	1.90	203
197	2/6/2018	10:19:11	51.546295	-0.023875	4.28	1.90	202
198	2/6/2018	10:19:12	51.546280	-0.023882	4.32	1.90	205
199	2/6/2018	10:19:12	51.546280	-0.023882	4.32	2.00	208
200	2/6/2018	10:19:13	51.546268	-0.023886	4.30	2.00	205
201	2/6/2018	10:19:14	51.546257	-0.023890	3.96	2.00	205
202	2/6/2018	10:19:15	51.546249	-0.023893	4.00	2.00	204
203	2/6/2018	10:19:15	51.546249	-0.023893	4.00	1.80	207
204	2/6/2018	10:19:16	51.546242	-0.023897	4.04	1.80	203
205	2/6/2018	10:19:16	51.546242	-0.023897	4.04	1.80	206
206	2/6/2018	10:19:17	51.546230	-0.023899	3.50	1.80	203
207	2/6/2018	10:19:18	51.546223	-0.023902	3.22	1.80	204
