X,Y,index,lat,long,speed,date,time,air_val,dust,gsr
-14763.1908690039,6714806.62948137,"0",51.525647,-0.13262,0,"180124","18484400","17",0,"341"
-14763.4135079855,6714807.16625036,"1",51.52565,-0.132622,0.7,"180124","18484500","26",0,"379"
-14765.0833003474,6714805.91378943,"2",51.525643,-0.132637,0.7,"180124","18484600","28",0,"375"
-14765.9738562738,6714805.0191746,"3",51.525638,-0.132645,0.7,"180124","18484700","28",0,"367"
-14766.7530927093,6714803.58779107,"4",51.52563,-0.132652,0.15,"180124","18484800","27",0,"342"
-14767.6436486357,6714801.79856202,"5",51.52562,-0.13266,0.48,"180124","18484900","27",0,"269"
-14768.4228850712,6714801.79856202,"6",51.52562,-0.132667,0.48,"180124","18485000","22",0,"262"
-14768.7568435436,6714800.36717906,"7",51.525612,-0.13267,0.74,"180124","18485100","21",0,"252"
-14768.9794825252,6714800.00933336,"8",51.52561,-0.132672,0.62,"180124","18485200","21",0.62,"241"
-14768.7568435436,6714798.75687353,"9",51.525603,-0.13267,0.85,"180124","18485300","21",0.62,"238"
-14767.9776071081,6714796.07303168,"10",51.525588,-0.132663,1.21,"180124","18485400","21",0.62,"233"
-14768.9794825252,6714795.53626342,"11",51.525585,-0.132672,1.14,"180124","18485500","20",0.62,"233"
-14770.6492748871,6714794.28380428,"12",51.525578,-0.132687,1.21,"180124","18485600","20",0.62,"236"
-14771.5398308134,6714793.21026803,"13",51.525572,-0.132695,1.3,"180124","18485700","21",0.62,"245"
-14770.0926774331,6714788.91612442,"14",51.525548,-0.132682,1.38,"180124","18485900","21",0.62,"253"
-14769.3134409976,6714781.75922345,"15",51.525508,-0.132675,1.38,"180124","18490000","21",0.62,"259"
-14770.9832333595,6714779.43323199,"16",51.525495,-0.13269,2.88,"180124","18490100","21",0.62,"264"
-14772.0964282674,6714775.85478488,"17",51.525475,-0.1327,2.87,"180124","18490200","21",0.62,"247"
-14772.6530257214,6714771.91849488,"18",51.525453,-0.132705,3.38,"180124","18490300","21",0.62,"348"
-14773.2096231753,6714768.16112893,"19",51.525432,-0.13271,3.65,"180124","18490400","24",0.62,"374"
-14773.5435816477,6714762.97238831,"20",51.525403,-0.132713,3.94,"180124","18490500","29",0.62,"240"
-14775.7699714636,6714758.49933872,"21",51.525378,-0.132733,6.08,"180124","18490600","20",0.62,"245"
-14778.775597715,6714753.48952608,"22",51.52535,-0.13276,9.15,"180124","18490700","21",0.62,"242"
-14781.5585849848,6714745.9748129,"23",51.525308,-0.132785,10.56,"180124","18490800","21",0.62,"235"
-14787.1245595245,6714739.53363569,"24",51.525272,-0.132835,9.55,"180124","18490900","21",0.62,"241"
-14790.4641442483,6714734.70275613,"25",51.525245,-0.132865,4.17,"180124","18491000","21",0.62,"233"
-14792.9131730457,6714733.80814912,"26",51.52524,-0.132887,4.17,"180124","18491200","20",0.62,"234"
-14794.91692388,6714727.00913903,"27",51.525202,-0.132905,4.17,"180124","18491300","20",0.62,"240"
-14794.91692388,6714721.82042463,"28",51.525173,-0.132905,9.67,"180124","18491400","21",0.62,"238"
